,n_cells
GRINA,1665134
C5orf64,28152
GLULP4,10293
THBD,41322
GP5,29643
LMO7DN,3842
COX5A,1302619
STX19,49628
ERFE,10916
FAM219B,810041
ZHX2,7229885
CPN2,723
CPNE7,30288
C5orf46,2314
CD300LB,99527
GDPD4,14590
RIIAD1,2780
MPI,518799
ADORA2A-AS1,60119
H1-8,2389
TRIM73,24398
OPLAH,38201
TMEM52,734
TMEM139,35395
EFCAB13,1762571
MSC,83296
APOLD1,2940712
RFLNA,1799954
EXOSC4,112525
DPY19L3,1094022
TAF7,2848146
ZNF852,743084
FOXE1,576
PFAS,400468
HYI,147073
CYBC1,2275351
TPRX1,4127
ZNF552,528740
SMIM10L2A,19959
GAK,4426443
ZBTB7A,3846675
TUFM,1027750
ERICH3,158309
RMI1,786165
CTC1,1997756
FBXO34,3995556
LINC00324,241393
SELENOW,921614
EIF3K,1840411
MRFAP1L1,1252379
SNX18,1624130
EXD1,15756
AURKB,18004
TAS1R2,1095
C14orf39,40928
MRFAP1,1556424
C3orf38,1999543
KLHDC7A,423
TMEM107,320879
NSA2P3,2092
ENSG00000179038,9805
RRS1,248374
EXOC3L1,43058
TRIML2,3303
RCC2,2479601
IGSF22,18584
C9orf50,4104
ZFP42,1567
ENSG00000179066,5610
CCDC89,47051
TAAR3P,515
LINC02913,58895
FAM133A,9155
DPM3,142683
C12orf42,2336046
CYC1,486189
PER1,794661
HTR1F,155062
H3P47,12467
TMTC2,3404033
HES7,2217
FARSA,761979
SPTY2D1,1709343
C10orf67,16618
SAMD4B,2958645
LINC00670,9849
MTUS2-AS1,2786
GIMAP7,5535881
ALOXE3,5260
EDC3,1431916
TCAIM,2153131
RPS2P28,217
FUCA1,1281728
PXT1,26875
GGN,4337
HNRNPCL1,1429
TMEM125,638
ZNF664,100280
SIGLECL1,11991
CALR,4717703
MAGED1,3937526
GVQW3,287151
LDLRAD3,965833
CDH4,185515
ENSG00000179253,114153
SMCO3,9308
RAD23A,2140636
PCARE,749
GADD45GIP1,787720
MEIS3P1,509
DAND5,4354
TMEM151A,282
PTPN11,3200476
NSUN7,276117
RTL3,224
FAM156B,25973
WSCD1,10152
RAB39A,1637534
CLK3,1651755
ENSG00000179342,294
HLA-DQB1,2234575
GATA2,20105
ARID3B,2597381
HMGN2P46,546186
TMEM31,1326
PACS2,1852180
ELMOD2,1682613
EGR3,101760
CATSPERE,760590
GPC5,421973
VWA1,725
LINC00174,1559041
GEMIN4,247706
HNRNPCL4,16061
OR6W1P,920
FJX1,9328
SLC24A3-AS1,3447
LINC01699,1509
KLHL28,2627486
MKRN3,404334
ZBTB18,1958085
OR9A2,1290
C14orf28,192377
ALOX12B,12835
SLC17A8,13133
EIF3J-DT,943744
SHARPIN,795758
LBX2,35101
DNHD1,3369992
SLITRK4,21324
HTR1D,10672
GCC1,560458
LSMEM2,14592
NBPF17P,41382
RNF151,1520
CIITA,3587554
ZFPM1,1203434
ALOX15B,50619
PLD6,130990
GPHB5,1052
GRM8,63207
CDC42EP4,132966
OR6C4,271
ZBTB42,90141
LACC1,1712178
MAF1,736334
TPPP2,1322
FCER1A,24657
RPRML,254
ARL14,1159
LINC00305,3479
OR6C2,410
WDR97,83930
NLRP8,10444
PCED1B,6751670
SPEN-AS1,381743
APOBEC3B,72820
PIPOX,695524
ATP8B5P,6197
CDH5,4421
LRRC3B,6871
FAM216B,1116
PCBP1-AS1,3455215
MYADM,926719
MRGPRX3,1020
MROH1,2507738
SERTAD2,2375433
PIK3CD-AS1,20156
AKAP5,226607
NKPD1,24613
GIPC3,19459
RNF227,47307
CITED4,31489
ABCA13,29545
NLRP11,7391
TIGD5,91505
PDXDC1,3755187
PHC1P1,58083
CFAP276,5661
ZNF154,579208
R3HDM2,7214404
B3GNT3,6518
ITLN1,1914
NRXN1,106120
SEPHS2,903351
GPBAR1,95048
ZNF784,103938
ZNF648,11254
C14orf119,686134
CCR8,9340
LINC00652,1479
GOLGA8J,3921
BBS10,218604
FIZ1,320001
PUF60,831261
SSC5D,27995
DCTPP1,260730
ZNF771,184390
NAIPP2,336455
TSHZ1,2325376
PSTK,379300
SPDYE7P,4564
SOCS4,1655859
PTGR3,1507754
ENSG00000180015,20061
OR1E1,641
ENSG00000180019,1249
ZNF48,785318
GARIN5B,1157
C3orf80,1467
TMEM150B,843234
LINC02870,22985
ANKRD18A,239172
WFDC11,4979
TMEM86B,86111
OR3A1,15867
SEPTIN1,848396
TRNAU1AP,1523902
EXOC3,2238550
TDRD6,66476
C12orf40,402409
CSNK1A1L,1425
XIAPP3,896
LYNX1,18073
RPS12P23,3313
MED14,3294976
FAHD1,390339
HMGB1P14,5574
TDRP,11167
RCC1,1413325
WFDC9,6213
MYL11,8172
F2,11370
ENSG00000180211,7015
PRKRA,1614166
HERC2P3,150830
NACAP2,218
ZNRF2,5894564
RRH,136215
SLC9A4,2506
ZNF816,479912
PRNT,14207
FGD6,1406193
ADGRD2,2187
GPR139,2047
TMEM277P,34696
CNEP1R1P1,284
PLD5,176412
OAZ2,1288066
PNPLA1,79839
ALX1,515
CCDC43,890093
KCTD4,10551
MEIOC,72047
FZD2,163829
TIGD2,216418
ITPRID1,22196
HCLS1,5576019
MTURN,900213
ZNF609,6747126
PAK2,6364809
CCDC66,3822631
DEFB124,1080
ATP5F1EP2,299
MCFD2,1824121
LINC00304,366
HARBI1,150101
DEFB123,1108
C11orf71,243361
CYP8B1,3314
TPRXL,34102
SERTM1,805
GAS1,4903
ARHGAP45,4589343
ENSG00000180458,1627
ZNF571,720558
GLIPR1L2,161838
DEFB119,1176
MIGA1,3146162
KCNE1,372720
DIP2C-AS1,874
NRIP1,4842885
ZSCAN4,594
BHLHA15,3216
RNF182,9097
LINC02908,214180
TSPYL5,76545
FUT7,42402
H2AC6,683419
EIF2S3B,36218
SRP9P1,8099
SKIDA1,9581
H2BC4,302496
ZBTB12BP,1003
MB21D2,2744697
SSTR2,135441
ZNF594,1082612
PCGF5,7210722
SLC47A2,17169
PRF1,1064910
OR2A4,589
MAB21L1,1979
RPL21P8,1098
YOD1,491011
EXOC5P1,10025
TMEM64,642566
C3orf22,8596
OR10K2,557
LINC02363,101342
CHRM4,12428
SHISA2,3843
S1PR5,271376
CLRN3,668
SMG1P3,785209
GPR157,448751
PIPSL,16020
CHST13,35441
WDFY3-AS2,84170
SLC36A4,2841321
ZDHHC20,5875210
ANKRD30B,12022
OR51E1,354
ZFP3,558815
ARSJ,52069
HOXC9,2011
MAP3K15,47623
PPA1,1443243
PSMG4,1736463
BHLHE22,5177
MAP6D1,63885
CSNK1G2-AS1,3849
ZNF443,168823
LINC01559,3825
PDIA3P1,937387
LINC01555,1472
CXCR2,49080
GREM2,628823
C11orf42,6126
SSR4,697379
CAPS2,824538
ZNF792,360500
CUEDC1,1057141
SCRIB,621795
KCTD2,801125
D2HGDH,1350777
OR52B1P,451
OXTR,18128
CMTR2,1097076
FAM83H,112641
GPR62,240
OR56A1,4734
ZNF572,119817
PITPNB,4333961
TCEAL8,549549
OR52E4,229
LRRC57,756820
OR52N2,7815
MRPL14,621090
GPR137C,170771
C1orf105,47705
OR52N1,2155
BBS12,176069
ZFP82,788820
OR52N5,1680
LSMEM1,88041
OR56B2P,39435
NQO1,99815
OR56B1,52668
AEN,497224
FKRP,625551
TRAPPC5,361259
RPH3AL,893357
SLC25A42,1242569
FCRL6,413793
METTL23,1226828
SLC26A11,1055539
HIGD1A,977112
CHRM2,8444
OR52N4,10854
MAPK15,791
EHMT1,6982500
ADIPOQ,4847
ENTR1P2,370
F2R,861560
OR52P1,3314
ENSG00000181123,3860
HLA-V,6855
ZNF707,588945
MUC16,29617
NPM1,3901602
FER1L6-AS1,5461
PJA1,422197
DHTKD1,1800359
PENK,872
H2BC27P,417
C4orf50,139677
H2AC25,63538
ZNF746,1271708
POLR2A,5001578
DLSTP1,3463
TMEM132C,55908
SLC25A41,8371
MTHFD2P7,3981
TLCD5,20213
FRAT2,245497
TMEM102,102775
TMEM132E,4081
ZNF322,554577
NME9,219719
HEPHL1,11661
LRRC75A,354345
OFCC1,63861
CTAGE10P,853
HSP90AA6P,4866
CCL13,205742
CFAP65,4436
DDX60L,7833325
SYNE4,33088
OGFOD3,734218
WASHC1,253749
UTS2R,621
AATK,171517
DDN,3053
SAGE1,2212
ZNF467,201726
SOX2,962
ZNF678,1940189
TMEM45A,12780
RAP2B,2337105
ZBTB2,1387394
RNF135,1401243
ACBD4,452524
ENSG00000181514,270
OR8D4,710
SGSH,822498
RPL24P4,9430
MAB21L2,5744
FANCB,633098
SETD2,7748616
EDDM3A,209
LINC03040,50048
TMIE,32240
MEX3D,50458
MRPS23,527909
OR52H1,77387
GPR135,510719
SLX1B,547
ANKRD62,5772
P2RY13,309193
TNFSF15,75774
ZFP41,585543
PHLDA2,42209
ATG9B,88677
GPR88,1652
ZNF875,1950134
PLAG1,1027099
OR8H1,382
YIPF6,1355768
ZBTB20,10331787
OR2Z1,1643
FDX1P1,711
DIPK2A,1481741
MACIR,221324
AMIGO1,189823
GPR3,878
TMEM252,2112
ODF3L2,3355
OR5AS1,815
SIAH2,1198686
COPG1,2148058
ADGRB1,160507
LINC00471,30346
CELF2-AS1,28834
SLC9A9,5641931
LSM10,481439
RELL1,2309114
RFX7,5612046
SLC35C1,381229
TIGIT,1567817
RNF41,1221726
SLC2A4,775
IBA57,486991
CLDN7,43327
ZNF329,649996
ZNF101,3440872
C5orf24,1155958
LINC02724,18567
ADO,463445
COA4,702571
PRKAG1,1679683
GINS3,105284
OR52K2,11114
CCDC149,707013
MRPS11,935712
LINC00301,6442
AQP7P2,226
PPIAP73,541
SNRPE,536760
RTKN2,591056
PNMA8A,5819
CHST15,1044263
ADIG,7775
TRPC2,16867
MGAT4C,94340
TRIM49B,309
IDH2,2340675
OGFRP1,92844
OR52A1,478
PTCHD3,1436
TMEM259,1765679
GET1,561342
TNRC18,3741121
FAM181B,424
TMEM30B,42263
DEXI,570280
ZNF716,3199
NOP10,574764
FAM89A,463647
KCNIP1,85865
TDRKH,567940
ZNF708,2523273
IST1,3784528
ERCC6L2,4514240
MRPL41,309008
ENPP7,11121
CREB3L2,2422289
P2RY8,6713716
TP53TG1,487924
UNC5C,223083
TSEN54,918172
RGMA,18875
ASB18,4851
UBA7,1883634
MRPS16,874163
SHISAL2A,2790570
RAD51B,7734721
CRYGB,616
LDOC1,202162
ARL6IP4,1508554
EXT1,4147375
SHMT2,311388
MOB2,1674711
HHIPL1,15936
ATP6AP2,2303184
ZAR1,1741
CYB5D1,122822
BACE2,182247
UBE2E2,5367407
SYNM,526744
KCNA4,245
GABRG3,50087
PRR34,35040
NLRP10,1102
FIGN,8221
IZUMO1,1851
TMIGD1,7499
B4GALNT4,8247
AP1S2,2369584
C8orf33,799549
DCAF4L1,49115
SPACA6,609004
MBD3L3,1894
ZSCAN22,164268
KCNJ14,312040
FBXL6,114433
C1S,1224811
GLTPD2,2281
KIAA2012,31614
LIPF,1581
DAOA,635
PDSS1P1,8423
ZNF804B,37907
CD300LD-AS1,1280
KBTBD3,512366
YBEY,407553
FAM87A,599
CLN8,1233900
ENSG00000182376,13992
PLCXD1,245607
NXPH4,21345
RPL27AP5,659
CACNB4,307442
IFNL1,2209
DNM1P46,18083
TRAPPC6B,1685401
PGBD4,194153
NPLOC4,3252332
OTOL1,233
KCNK4,6269
TEX19,306
TSHZ2,4662265
CAPN12,169805
EXOC7,2444669
OR2B8P,534
KPNA2,401453
WASH6P,52228
NCF1B,465957
XKRX,53068
BGN,210
CEP97,1135799
LHFPL1,73562
FES,623265
GLRX5,415874
FAM104B,187005
TBPL2,6050
OR7E115P,761
CAV3,22266
MXRA7,208575
LIMK2,2376012
MFSD5,189785
RNASE10,1085
ADI1,877070
RWDD4,414365
SPNS3,83991
CLEC4G,14162
SATB1,2819840
CSGALNACT2P1,1613
NXPH3,6142
CSF1R,2506435
EPHB3,14350
EPGN,11803
LINC00334,148810
SNORC,355089
HS3ST4,46602
TRAK1,4047205
TSPAN10,27599
OR2V2,878
PLCB1,3287485
SKA2,1045292
CCNYL2,9749
NDN,11823
CCDC172,5328
RNF32-DT,229167
NTM,71622
TTC3,6023806
KCNB2,23705
PPP1R27,515
BRICD5,54543
GALR2,957
RESP18,201
IGIP,631239
TSKU,1341
CMC4,203301
ANXA2,3665219
SEPHS1P1,340
RGS6,93272
HOXB4,171058
SLC35D3,299
PAQR7,158186
PAPPA,24048
MAFA,1566
NGRN,786406
GRID1,50990
RPS17,3560704
HCAR2,90136
OR2T29,2340
CCDC87,957
GSTA5,305
C1orf116,4864
TMEM198B,419953
MAGEB17,1606
CRIP2,20787
DDX28,139875
FUNDC2P2,2816
FAM230E,510
ACBD3,3124634
HAPSTR1,3790627
PLCXD3,16623
RRP7BP,217538
VMO1,291435
OR4F15,2002
ALG12,451784
LCK,4325196
GALNT9,6503
COL18A1,245262
RBM10,2462550
PRKCZ-AS1,13463
ADGRG3,174302
RPS27AP20,315
GLUD2,13477
TMEM95,1698
TCHHL1,219
RPL35A,4873243
RGS7,195915
SLC25A18,11547
ZNF721,4494922
TSPEAR-AS2,4559
TCEAL7,216
C11orf54,1468102
GPATCH11P1,377
CEP63,2665784
WFDC10B,8899
SRPRA,1998138
OTOP3,5026
EWSR1,5103923
ODF3L1,267
HMGN4,1729146
SPATA13,5981078
GJC1,9407
NPM1P14,607
SOX1,316
CNOT10,2729210
MTA1,1687448
ZNF662,117260
CADM1,877357
ZNF320,839846
C12orf60,178709
PYCR1,23347
NAA38,1219403
SPNS2,18445
MCEMP1,49794
AP2A2,3485785
TPM3P8,54586
SLC8A1,3773093
SLC25A21,56984
OTOP2,1661
CYLC1,4862
PCP4,4971
ABAT,1705115
SLC25A10,59982
CAMK1D,7106197
RGPD6,33429
LYSMD4,506431
WBP2NL,708572
IGSF5,4129
AFMID,232342
GAS6,809450
FREM3,56692
NEB,302016
BEGAIN,27139
GPC6,90388
ARHGEF37,117126
CSMD1,284558
CALHM3,1045
PTGDR2,4912
CEP57L1,1070252
RIPPLY3,5046
ANKRD20A2P,2624
GPR19,330149
GJD3,936
ENSG00000183154,17169
RABIF,746834
TMEM119,10453
FANCF,343079
CALN1,211419
ENSG00000183171,5326
SMDT1,646853
GABRR3,13221
CHST6,5758
HSP90AB3P,116783
POTEC,864
RUVBL2,530261
GDPGP1,234779
CTNNA3,434529
ENSG00000183239,1345
WT1-AS,19805
RIMBP3C,695
PRR36,3782
NF1P3,498
LINC01547,39251
OR51B4,747
PTTG1IP,3346473
DDX41,598812
ABHD16B,2047
CCDC60,33145
PLGLB1,54400
DAZAP2,3056856
CCBE1,39289
SELENOF,3784180
PRSS40A,913
RPSAP19,9819
FAM9A,248
TMEM121B,50926
ENSG00000183308,639081
ZNF623,1291914
OR2T34,580
EPHA10,7357
SPDYE4,7182
CCDC125,883374
REC114,55084
BCOR,2811217
JRKL,594667
CABCOCO1,7889
GBP6,73749
KIAA2026,6138471
OVCH2,1076
SYNDIG1L,23471
FHL3,490135
OR56A4,966
PMCH,8843
TMEM89,1571
TEKTIP1,296508
CCDC159,812413
RIPK4,10565
LRIT3,18106
NPIPA1,261051
SF3A3,2135419
ZBTB8OSP1,1627
TRIM61,76913
OR7E38P,124331
GRIN2A,43878
PKD1P3,68442
URAD,15456
FLJ40288,12994
GTF2H2C,233005
ASB7,1965381
SH2D7,5587
TREX2,807354
GPR132,1572198
MX2,7616182
EP400,5270191
MEX3B,36819
PI4KAP2,233848
TENT5C,1337547
COA5,877234
UTP11,703340
PSMG1,333486
PRR14L,4908272
COL18A1-AS1,254
KLRC4,469875
ACSM5,31492
ENSG00000183562,9061
BPIFA4P,318
SERHL2,110824
PCBP3,448010
PGPEP1L,15148
SETD3,3168399
TNFAIP8L3,28079
ZNRF3,335269
FBXL7,34395
HMGN3P1,577
TANGO2,1916946
H3C13,4610
SMG1P5,1412664
SFXN4,719167
GKN2,360
FAM167B,3825
MRPL54,244848
ZNF438,3520582
HMCES,1041436
CCR3,420705
DGCR6,5855
GOLGA8G,1027
RP1L1,18378
C15orf32,6935
HOATZ,931
ZNF530,229157
NDUFB1,1058123
MARCHF11,5150
KLHL25,411280
TAFA1,941560
TRMT12,424380
GUSBP1,1003050
PSG9,3793
CMKLR2,21277
LINC00518,1891
BMP8A,30228
ALYREF,275068
RFLNB,780751
EFHC2,182083
NOG,244332
MRGPRX2,1864
UPP1,2122448
SLC9B1P1,1061
OPCML,63706
TRIM52,1513276
LHFPL6,288251
CMTM4,341784
TMEM50A,2778458
FIGLA,24989
ASCL2,311749
TBK1,3441823
CBX6,1980914
MACC1,212245
ACSM2A,1991
TBL3,273241
ACP7,10503
KREMEN1,216895
TRAIP,77134
CHEK2,442383
AIFM3,53376
KCTD16,64058
B3GALT5,6051
ZNF703,33802
SLC35F3,345755
KCTD8,37536
DOCK8-AS1,53164
TUBA8,328358
NPIPA5,40768
EMILIN3,302
OLFML1,15880
FAM162B,1149
RBM12B,2448899
CCR4,476200
LIN9,700918
NCF4-AS1,37731
BTBD9,7930201
NUDT14,153669
ANKRD45,17137
CFAP91,47718
PNMA3,170411
GPR39,56236
FAM3B,15371
ZNF730,58483
KIRREL1,7932
IQGAP3,13862
TOB2,1516362
SCN5A,13085
ARSI,4717
UTY,4145345
SRARP,395
NPIPA9,82716
TTC32,614418
LRRC55,230
RPL21P132,1004
DNAH2,22289
SH2D1A,1112942
SDR42E2,55504
DUSP5P1,447
HTR7P1,117679
PRKX,5384031
KMT5A,491156
KCNH8,199330
SMTN,72225
NPW,25427
PP2D1,75006
COA3,232199
NPB,5212
ST6GALNAC3,1460884
PTP4A2,5687400
ACTG1,5008535
TMPRSS2,7076
DENND5A,4332114
OR2T10,23746
DIABLO,1311357
VPS33B,900747
TBX1,29809
ADAP2,2260555
SREBF2-AS1,75371
UQCR10,787885
FAM120C,1544504
BRD7P2,26273
TREML3P,5900
TRIML1,1360
EIF3C,220392
RPL11P4,416
CLDN5,576
NIPSNAP1,868722
RPL7AP28,560
OR4F6,2526
CNTN2,5953
LRRC51,103470
KCNQ3,166113
NR2C2AP,233407
C1QTNF12,14125
CRELD2,659133
OR1D2,804
SCFD2,4686102
UBE2F,3433737
KCNJ12,4407
ENSG00000184188,1788
GPR173,51845
PPP1R2,4031364
TSPYL2,1689362
GOLGA6L4,4006
PGP,416274
C22orf46,835278
SNRNP35,1418864
DGAT2L6,6511
IRAK1,1169592
CMSS1,3784403
OLIG1,14206
NDUFV1-DT,569
PCDH9,480860
ACOT1,19278
OAF,388842
ALDH1A3,4524
H2AC20,390591
KCNK12,51099
H2AC21,44912
POU6F1,1148348
LINC00315,1685
DEFB108B,916
TM2D3,1778511
TSSC4,278982
TACSTD2,2264
CLECL1P,1139220
PRKD1,161983
CCSER1,2279492
ZDHHC23,197095
MROH7,90701
RPL23AP82,42005
SRPK3,4208
GDF3,1132
IQCF2,1184
SLIT3,59685
EFNA5,177559
MRGPRE,692
H1-5,79957
SPATA32,130899
PKP3,913
MAP7D2,199431
CSF1,561697
COLEC10,16054
ACTRT3,4865
PLA2G6,872155
MAML2,9962677
UMODL1-AS1,2014
A3GALT2,59250
OR4N5,284
SS18L1,1279770
KCND2,32057
IRS3P,9289
TOP1MT,447187
COPB2,2554652
LRRC19,14856
THAP7,322469
ENSG00000184441,84980
KNTC1,1448699
CCR10,14788
NCMAP,44473
BPIFC,9383
WDR27,2144437
TXNRD2,1123072
OR56A3,718
FOXO4,391847
POU3F2,496
PTP4A3,182521
FOXD4L1,6883
TMEM255B,186558
PROS1,109058
GAST,3252
NUTM1,10354
HDDC3,255990
BEX5,51938
ZFP1,482099
PTGER4P2,1136
CEND1,3939
C6orf58,16110
DHRS7C,1839
DUSP8,105627
SOCS3,1064217
SLITRK6,303
PIWIL3,6344
LPAR5,580307
XPOT,2152042
STING1,552954
PDE4B,5906145
TAFA3,1189
C14orf180,205
SNN,846032
FAM167A-AS1,15800
KCNH7,33489
RPL7P26,3081
NELL2,4502367
SPDYE12,26089
ZNF840P,709
KRBA2,680632
MED12,1773768
ZNF93,594831
SEPTIN9,6928378
PRSS55,7397
ODF4,511
FOXD4L4,338
CDCA2,31626
OR7E14P,622
RALYL,58550
AMER1,409003
ZBTB40,3118712
H2BC21,411354
CLDN6,2480
OR51M1,1516
SEPTIN5,4487
EIF4ENIF1,1877431
LRRC26,1770
SERINC4,32634
RNLS,1032472
APOBR,1330909
FAM110C,28518
DDX53,228
ATL3,2904991
NDUFA12,1315307
PRSS40B,515
MGAT4EP,7714
SMIM10,6610
DYNLT2,161574
UBE2G2,3532255
SATL1,13455
OSBP2,364542
UNC93B5,3190
B3GALT5-AS1,3254
TRARG1,2301
ZBTB7C,35417
APOO,508451
PRR16,455662
TMED9,1688711
CYCSP45,214
LINC00308,514
TMEM186,218996
SDR42E1,173379
RBM33,6712704
ARMCX2,97878
BTBD6,180920
H1-10,1014867
RBM43,991502
SUMO3,1215143
IMMP2L,7647132
TCEAL2,13782
CLCNKB,673
DMRTC1B,17999
JAG2,19281
FMNL1,5599331
NUTM2A,6938
PTRHD1,102775
LCN12,11345
OR6A2,2761
WT1,4012
ZFP90,2370690
FAM227A,24269
MUC6,13889
NOC4L,238889
USP18,3250458
NDUFA6,810940
CHRM5,119093
SORCS2,66859
TMEM121,15779
TMEM106A,2114064
SIVA1,745374
TTTY13,301
BRI3BP,874304
IFNE,3863
SLC22A10,3869
DGAT1,312176
RFX6,2101
ROBO2,166632
AP3M1,1987982
F8,200011
NT5C1B,22240
CA13,342791
UBOX5,1541846
MAFF,437088
BRF1,1571310
LRRC14B,984
SEMA4B,1345511
MROH2A,2372
SPDYE16,13142
CIB1,830249
ANKS1B,179082
NELFA,1024196
SLC24A3,277312
SGCZ,92217
EFCAB10,412753
C5orf47,18745
UFD1-AS1,10014
KRT76,234
FLRT2,37762
RPL9P14,935
INTS5,295759
RPS27L,1691335
MANEAL,52569
ADSS1,46752
ANO9,552940
FAF1,7662060
MYADML2,6075
FAM43A,140041
NSMCE3,417700
HSF1,2001109
C6orf120,520185
PURA,2752599
H2BC13,9764
INPP5J,9077
NPY2R,253
MIXL1,2161
MFSD6L,4823
LRRC37B,1743558
DDX51,491794
NOMO2,518933
LINC00482,17862
ZNF479,1216
LINC00313,1007
SIGIRR,1054517
NRBP2,225735
PRSS57,11037
IFITM2,1602384
WASIR1,258
TNFAIP2,1977983
ZNF445,1841104
PGBD2,534979
TCEAL9,94015
MC2R,1254
RAB11B,1086337
PRMT3,2726837
GP1BA,13075
PRPF39,1857995
MAGEA11,969
PPIL6,56258
ZNF74,268982
KIAA0825,1459146
UBALD2,1706484
TEX33,1625
CDNF,147433
NOTUM,5840
KLHL33,7374
RBM11,271003
GALNT17,122632
ZBTB37,2240787
NUPR2,1287
IL3RA,1549856
CCDC137,1169162
RGPD2,206089
ARL15,7453523
C12orf56,45685
SCN10A,6491
SSXP4,536
CDK10,713611
TMEM105,1494
SOCS1,759392
TCN2,546990
GAS2L1,107020
ATP6V0A2,2157380
PRKN,4180971
TEDC1,125864
HS6ST3,60799
HGS,1779255
TNFAIP8L1,659493
OR2V1,283
RAD51D,1093069
OR7A17,789
MAPK11,41819
SP140L,5383296
MRPL30,861487
TARS3,2612691
SMYD3,7126646
METTL7A,475237
LINC00158,201034
IFNLR1,654940
SH3BGR,80762
FAM174B,605376
ZSWIM9,969384
KPNA7,58280
TMEM179B,1191350
GPRIN3,3771851
PARPBP,390778
STAC3,413364
ROR1,462794
SDHAP1,1105338
SEPTIN7P13,385790
MUC1,75663
FAAP100,237623
IRF7,2795467
L3MBTL1,878835
BRCC3,2173155
SV2B,17572
FAM131C,1509
LMNTD2,80990
SPATA45,38181
PDE6G,29285
PRKG1,232538
NR2F2,507
DLK1,236
TLCD2,50176
LSAMP,216256
AHNAK2,6877
OLFML2A,18798
SP1,3598306
WASH3P,134433
MRPL40,270575
DBX2,1098
INKA1,24326
PDIA2,627
PCGF3,2407716
LMLN,539624
P4HB,3013312
PSMD13,2086482
PBX1,185735
RPL14P6,3866
NDUFA4L2,6511
SHC4,33924
KRT79,694
ENSG00000185641,6927
ZFP36L1,4449092
UBE2L3,3339861
NTF3,3211
BRWD1,7185059
SMIM23,1749
PMEL,79027
SYN3,208732
POU3F1,8581
SNAI3,355963
ZBTB3,302186
LYG2,38714
MORN5,5628
EP400P1,536041
PRAME,11124
TEX56P,43365
MYBL1,2389421
SMG1P4,180365
MOSMO,2917331
DRG1,3357150
ANKFY1,5719059
YTHDF3,4006654
ZNF696,398141
ADARB2,778944
NRG3,66456
SRL,22691
IFIT1,4180128
CXorf38,2862617
CLDN24,203
KCNQ5,2878333
ADAMTSL5,42543
KCNIP4,228197
MORF4L1,4427913
NLRP9,11081
WDR53,718993
DMWD,259568
SLC52A2,151790
PIGP,346712
IKZF1,9936751
PCYT2,204940
NAT8L,2530
NPAP1,222
BCAP31,1194860
ARL17A,1225443
RPL12P4,24499
HDHD5-AS1,127430
GNB1L,501989
ENSG00000185839,9930
DNAH14,106915
LINC01405,6284
CCDC190,4178
EVI2B,1949267
NPIPB4,1449500
ZNF829,480013
TMPRSS11B,1498
THNSL1,233406
TRIM69,1784283
ATP6V0C,2059032
IFITM1,4512977
PRSS38,8013
LAMP1,2470534
FFAR3,795
TAS2R60,7659
POMK,1043556
LINC00839,2319
C16orf54,925893
KLHDC8B,62653
KLHL34,37948
SETD4,1160454
PTCH1,704719
RTN4RL1,84157
CALHM1,1796
NKAIN3,55460
RNPC3,2702678
ZNF267,4997587
IRS2,981780
SPACDR,268117
FAM186A,34907
SHOX,2920
BICD2,2317903
CCIN,2458
TMLHE,2608385
GRK1,749
SLITRK2,318
SDHAP3,990601
PLK5,75475
RASA3,7458239
LRCH3,5843284
LEMD1,55738
ATP4B,377
NDUFA13,1403569
ZNF566,1278782
ZNF225-AS1,29072
ZNF529,1453229
ZNF284,301242
HTR3E,7457
DLEU7,271284
KRT73,167444
TAL2,3452
MATN1-AS1,285490
AIDA,2518346
CDIN1,1736054
CD300LF,946178
ZPBP2,9858
ENSG00000186076,304
KRT5,6179
NBPF6,1039
GSAP,4671499
HTR3D,476
AGBL4,208297
ARGFX,5302
CYP2R1,968614
LRRC70,1234
ANKRD46,1422854
PIP5K1C,1866524
CYP4F2,909
TEX38,8943
ZBTB6,631217
C2orf76,730064
TAS2R42,356
POLR3C,1970704
DEFB131A,236
UBL4B,643
LILRP1,14267
WWOX,6602964
CYP4Z1,2054
CIDECP1,169760
PRSS59P,491
CENATAC,2913196
BCL9L,3120243
POLR1D,2293064
KIF18B,12906
ZNRF1,1124760
FFAR4,28708
BPIFB3,463
BPIFB4,4302
SAPCD2,11014
EDARADD,906535
SLC51B,2037
CYP4F12,9166
MTARC1,27950
SOWAHB,293
BLOC1S4,328332
ZNF749,325397
KLHL32,849053
FAM86MP,2537
LINC02610,32367
ENSG00000186244,9523
MRTFB,2720204
BTLA,1004459
ZNF17,368826
KDM4D,87856
GPAT2,38373
TOR3A,738120
GABRA5,4446
PPP1CC,2810396
ZNF555,410141
MST1P2,10001
NAP1L3,78619
CA5BP1,460771
PRELID2,482089
BACE1,182774
RGS9BP,1913
TMEM212,14625
SLC36A3,5658
SLC36A2,3446
THBS2,4507
RXRA,1704938
ANKRD37,84846
NUDT17,74557
MINAR2,1295
SERTAD4BP,994
ZNF75D,3227161
CYP4X1,1686
KRT26,1603
KRT10,368117
GOLGA8R,37715
CD300E,1563247
CCDC30,975639
NKRF,672103
GLDN,34339
FCAR,374065
KPNA4,4759190
TRDN,20650
OR6P1,461
ZNF501,155025
ZNF197,1275600
SPATA12,14227
TMPRSS12,19185
FAM228A,84750
NAP1L2,108390
AQP7P1,7690
RPS23,4584561
GNG2,4904868
BTN3A2,5050084
AKAP14,11442
